dataset,dataset_full_name,dataset_link,c_source,c_programme,c_modality,c_obs_type,c_protocol,c_platform,c_workflow,c_cn_type,c_raw_cn_scale,c_raw_locus_type,c_reference,c_cancer_type,c_cancer_type_full_name,n_sample_num,n_cell_num,n_spot_num,n_after_qc_ratio,c_usage_permission
GSE150825_GSM4603512,GSE150825_GSM4603512,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\head_and_neck_cancer\hn_npc_GSE150825/hn_npc_GSE150825_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,HNSC,Head And Neck Cancer,1,24722,NA,NA,Open Access
GSE150825_GSM4603513,GSE150825_GSM4603513,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\head_and_neck_cancer\hn_npc_GSE150825/hn_npc_GSE150825_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,HNSC,Head And Neck Cancer,1,13718,NA,NA,Open Access
GSE150825_GSM4603514,GSE150825_GSM4603514,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\head_and_neck_cancer\hn_npc_GSE150825/hn_npc_GSE150825_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,HNSC,Head And Neck Cancer,1,5859,NA,NA,Open Access
GSE150825_GSM4603515,GSE150825_GSM4603515,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\head_and_neck_cancer\hn_npc_GSE150825/hn_npc_GSE150825_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,HNSC,Head And Neck Cancer,1,28327,NA,NA,Open Access
GSE150825_GSM4603516,GSE150825_GSM4603516,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\head_and_neck_cancer\hn_npc_GSE150825/hn_npc_GSE150825_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,HNSC,Head And Neck Cancer,1,8596,NA,NA,Open Access
GSE184880_GSM5599225,GSE184880_GSM5599225,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\ovarian_cancer\ov_GSE184880/ov_GSE184880_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OV,Ovarian Cancer,1,32178,NA,NA,Open Access
GSE184880_GSM5599226,GSE184880_GSM5599226,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\ovarian_cancer\ov_GSE184880/ov_GSE184880_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6001,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OV,Ovarian Cancer,1,15277,NA,NA,Open Access
GSE184880_GSM5599227,GSE184880_GSM5599227,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\ovarian_cancer\ov_GSE184880/ov_GSE184880_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6002,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OV,Ovarian Cancer,1,14336,NA,NA,Open Access
GSE184880_GSM5599228,GSE184880_GSM5599228,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\ovarian_cancer\ov_GSE184880/ov_GSE184880_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6003,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OV,Ovarian Cancer,1,11554,NA,NA,Open Access
GSE184880_GSM5599229,GSE184880_GSM5599229,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\ovarian_cancer\ov_GSE184880/ov_GSE184880_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6004,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OV,Ovarian Cancer,1,57324,NA,NA,Open Access
GSE184880_GSM5599230,GSE184880_GSM5599230,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\ovarian_cancer\ov_GSE184880/ov_GSE184880_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6005,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OV,Ovarian Cancer,1,9365,NA,NA,Open Access
GSE184880_GSM5599231,GSE184880_GSM5599231,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\ovarian_cancer\ov_GSE184880/ov_GSE184880_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6006,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OV,Ovarian Cancer,1,19742,NA,NA,Open Access
GSE146100_GSM4365353,GSE146100_GSM4365353,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\lung_cancer\lu_adc_GSE146100/lu_adc_GSE146100_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,LUAD,Lung Adenocarcinoma,1,14997,NA,NA,Open Access
GSE146100_GSM4365354,GSE146100_GSM4365354,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\lung_cancer\lu_adc_GSE146100/lu_adc_GSE146100_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,LUAD,Lung Adenocarcinoma,1,10548,NA,NA,Open Access
GSE156632_GSM4735364,GSE156632_GSM4735364,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\renal_cell_carcinoma\rcc_GSE156632/rcc_GSE156632_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 600,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,KIRC,Kidney Renal Clear Cell Carcinoma,1,7360,NA,NA,Open Access
GSE156632_GSM4735366,GSE156632_GSM4735366,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\renal_cell_carcinoma\rcc_GSE156632/rcc_GSE156632_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 601,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,KIRC,Kidney Renal Clear Cell Carcinoma,1,12736,NA,NA,Open Access
GSE156632_GSM4735372,GSE156632_GSM4735372,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\renal_cell_carcinoma\rcc_GSE156632/rcc_GSE156632_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 602,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,KIRC,Kidney Renal Clear Cell Carcinoma,1,18239,NA,NA,Open Access
GSE156632_GSM4735373,GSE156632_GSM4735373,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\renal_cell_carcinoma\rcc_GSE156632/rcc_GSE156632_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 603,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,KIRC,Kidney Renal Clear Cell Carcinoma,1,23107,NA,NA,Open Access
GSE156632_GSM4735374,GSE156632_GSM4735374,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\renal_cell_carcinoma\rcc_GSE156632/rcc_GSE156632_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 604,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,KIRC,Kidney Renal Clear Cell Carcinoma,1,6994,NA,NA,Open Access
GSE156632_GSM4735375,GSE156632_GSM4735375,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\renal_cell_carcinoma\rcc_GSE156632/rcc_GSE156632_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 605,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,KIRC,Kidney Renal Clear Cell Carcinoma,1,10059,NA,NA,Open Access
GSE191288_GSM5743021,GSE191288_GSM5743021,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\thyroid_cancer\tc_GSE191288/tc_GSE191288_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,THCA,Thyroid Carcinoma,1,16785,NA,NA,Open Access
GSE191288_GSM5743022,GSE191288_GSM5743022,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\thyroid_cancer\tc_GSE191288/tc_GSE191288_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,THCA,Thyroid Carcinoma,1,29454,NA,NA,Open Access
GSE191288_GSM5743023,GSE191288_GSM5743023,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\thyroid_cancer\tc_GSE191288/tc_GSE191288_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,THCA,Thyroid Carcinoma,1,16382,NA,NA,Open Access
GSE191288_GSM5743024,GSE191288_GSM5743024,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\thyroid_cancer\tc_GSE191288/tc_GSE191288_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,THCA,Thyroid Carcinoma,1,13460,NA,NA,Open Access
GSE191288_GSM5743025,GSE191288_GSM5743025,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\thyroid_cancer\tc_GSE191288/tc_GSE191288_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,THCA,Thyroid Carcinoma,1,31372,NA,NA,Open Access
GSE191288_GSM5743026,GSE191288_GSM5743026,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\thyroid_cancer\tc_GSE191288/tc_GSE191288_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,THCA,Thyroid Carcinoma,1,88344,NA,NA,Open Access
GSE191288_GSM5743027,GSE191288_GSM5743027,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\thyroid_cancer\tc_GSE191288/tc_GSE191288_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,THCA,Thyroid Carcinoma,1,51269,NA,NA,Open Access
GSE152048_GSM4600954,GSE152048_GSM4600954,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,3997,NA,NA,Open Access
GSE152048_GSM4600957,GSE152048_GSM4600957,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,4069,NA,NA,Open Access
GSE152048_GSM4600958,GSE152048_GSM4600958,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,4179,NA,NA,Open Access
GSE152048_GSM4600960,GSE152048_GSM4600960,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,4911,NA,NA,Open Access
GSE152048_GSM4600962,GSE152048_GSM4600962,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,4349,NA,NA,Open Access
GSE152048_GSM4600963,GSE152048_GSM4600963,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,4282,NA,NA,Open Access
GSE152048_GSM4600965,GSE152048_GSM4600965,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,4218,NA,NA,Open Access
GSE152048_GSM4600966,GSE152048_GSM4600966,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,15421,NA,NA,Open Access
GSE152048_GSM4600971,GSE152048_GSM4600971,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,9138,NA,NA,Open Access
GSE152048_GSM4600972,GSE152048_GSM4600972,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,9163,NA,NA,Open Access
GSE152048_GSM4600973,GSE152048_GSM4600973,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,15274,NA,NA,Open Access
GSE152048_GSM4600975,GSE152048_GSM4600975,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,18448,NA,NA,Open Access
GSE152048_GSM4600976,GSE152048_GSM4600976,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,17230,NA,NA,Open Access
GSE152048_GSM4600979,GSE152048_GSM4600979,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,19961,NA,NA,Open Access
GSE152048_GSM4600980,GSE152048_GSM4600980,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,18668,NA,NA,Open Access
GSE152048_GSM4600981,GSE152048_GSM4600981,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,20578,NA,NA,Open Access
GSE152048_GSM4600984,GSE152048_GSM4600984,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,17586,NA,NA,Open Access
GSE152048_GSM4600985,GSE152048_GSM4600985,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,16182,NA,NA,Open Access
GSE152048_GSM4600989,GSE152048_GSM4600989,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,11856,NA,NA,Open Access
GSE152048_GSM4600990,GSE152048_GSM4600990,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,11164,NA,NA,Open Access
GSE152048_GSM4600991,GSE152048_GSM4600991,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,11148,NA,NA,Open Access
GSE152048_GSM4600992,GSE152048_GSM4600992,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,4352,NA,NA,Open Access
GSE152048_GSM4600993,GSE152048_GSM4600993,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,4423,NA,NA,Open Access
GSE152048_GSM4600995,GSE152048_GSM4600995,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,4309,NA,NA,Open Access
GSE152048_GSM4600997,GSE152048_GSM4600997,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,4391,NA,NA,Open Access
GSE152048_GSM4600999,GSE152048_GSM4600999,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,9638,NA,NA,Open Access
GSE152048_GSM4601000,GSE152048_GSM4601000,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,9643,NA,NA,Open Access
GSE152048_GSM4601002,GSE152048_GSM4601002,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,9645,NA,NA,Open Access
GSE152048_GSM4601004,GSE152048_GSM4601004,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,9680,NA,NA,Open Access
GSE152048_GSM4601006,GSE152048_GSM4601006,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,3122,NA,NA,Open Access
GSE152048_GSM4601007,GSE152048_GSM4601007,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,3163,NA,NA,Open Access
GSE152048_GSM4601009,GSE152048_GSM4601009,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,5851,NA,NA,Open Access
GSE152048_GSM4601011,GSE152048_GSM4601011,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,5739,NA,NA,Open Access
GSE152048_GSM4601012,GSE152048_GSM4601012,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,3157,NA,NA,Open Access
GSE152048_GSM4601013,GSE152048_GSM4601013,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,2917,NA,NA,Open Access
GSE152048_GSM4601014,GSE152048_GSM4601014,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,5802,NA,NA,Open Access
GSE152048_GSM4601017,GSE152048_GSM4601017,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,5757,NA,NA,Open Access
GSE152048_GSM4601019,GSE152048_GSM4601019,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,5671,NA,NA,Open Access
GSE152048_GSM4601020,GSE152048_GSM4601020,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,8707,NA,NA,Open Access
GSE152048_GSM4601021,GSE152048_GSM4601021,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,5723,NA,NA,Open Access
